book,title,author,genre,num_pages
263,Salamandastron,Brian Jacques;Gary Chalk,Juvenile Fiction,400.0
264,Jane Austen,Carol Shields,Biography & Autobiography,192.0
265,The Stone Diaries,Carol Shields,Fiction,384.0
266,March,Geraldine Brooks,Fiction,280.0
267,The City of Falling Angels,John Berendt,History,414.0
268,Tooth and Claw,T. Coraghessan Boyle,Fiction,304.0
269,Bleak House,Charles Dickens;Nicola Bradbury,Fiction,1017.0
270,The Tale of Genji,Murasaki Shikibu,,1090.0
271,The Adventures of Augie March,Saul Bellow;Christopher Hitchens,Fiction,586.0
272,Mrs. Dalloway,Virginia Woolf,Fiction,197.0
273,Animal Farm and 1984,George Orwell,Fiction,400.0
274,Gifts,Ursula K. Le Guin,Juvenile Fiction,286.0
275,Voices,Ursula K. Le Guin,Juvenile Fiction,341.0
276,The Metamorphoses of Ovid,Allen Mandelbaum,Literary Criticism,559.0
277,Winterdance,Gary Paulsen,Pets,272.0
278,All the King's Men,L. David Allen;Robert H. Lynn,Literary Criticism,80.0
279,The History of the Siege of Lisbon,Jose Saramago;Giovanni Pontiero,Lisbon (Portugal),314.0
280,Slammerkin,Emma Donoghue,Fiction,410.0
281,The Tale of the Unknown Island,José Saramago,Fiction,64.0
282,The Cyberiad,Stanislaw Lem,Fiction,295.0
283,Women and Writing,Virginia Woolf,Literary Criticism,216.0
284,The Cave,Robert Penn Warren,Fiction,424.0
285,The Female of the Species,Joyce Carol Oates,Fiction,275.0
286,To the Lighthouse,Virginia Woolf,Fiction,209.0
287,Three Guineas,Virginia Woolf;Jane Marcus;Mark Hussey,Fiction,352.0
288,Virginia Woolf,Hermione Lee,Biography & Autobiography,893.0
289,Between the Acts,Virginia Woolf,Fiction,224.0
290,Homage to Catalonia,George Orwell,History,232.0
291,The Inheritors,William Golding,Fiction,240.0
292,Moments of Being,Virginia Woolf,Biography & Autobiography,230.0
293,Mrs. Miniver,Jan Struther,Fiction,162.0
294,The Waves,Virginia Woolf,Experimental fiction,297.0
295,Typhoon and Other Tales,Joseph Conrad,Fiction,304.0
296,Persuasion,Jane Austen,Fiction,249.0
297,The Picture of Dorian Gray,Oscar Wilde,Fiction,367.0
298,Confessions,Jean-Jacques Rousseau,Literary Criticism,676.0
299,Jane Austen's Letters,Jane Austen,Fiction,672.0
300,Great Expectations,Charles Dickens,Fiction,480.0
301,War and Peace,graf Leo Tolstoy,Fiction,1388.0
302,The Bostonians,Henry James,Fiction,504.0
303,Scenes of Clerical Life,George Eliot,Fiction,310.0
304,Aesop's Fables,Laura Gibbs,Fiction,306.0
305,Augustine: A Very Short Introduction,Henry Chadwick,Biography & Autobiography,144.0
306,The Hound of the Baskervilles,Arthur Conan Doyle,Fiction,256.0
307,Inferno,Dante Alighieri,Literary Criticism,672.0
308,Medea,Eurípides;Michael Collier;Georgia Machemer,Drama,116.0
309,Philosophy of Mind,David John Chalmers,Philosophy,675.0
310,Lysistrata,Aristophanes;Sarah Ruden,Literary Criticism,132.0
311,The Oxford Companion to Philosophy,Ted Honderich,Philosophy,1056.0
312,Every Second Counts,Lance Armstrong;Sally Jenkins,Cancer,246.0
313,The Bridge on the Drina,Ivo Andríc,Fiction,314.0
314,Plato's Symposium,Plato;Seth Benardete,Philosophy,199.0
315,Oresteia,Esquilo;Aeschylus,Erinyes (Greek mythology),171.0
316,Heat Wave,Eric Klinenberg,History,320.0
317,A River Runs Through It,Norman Maclean,Biography & Autobiography,168.0
318,Genetics and the Origin of Species,Theodosius Dobzhansky,Science,364.0
319,More Than You Know,Michael J. Mauboussin,Business & Economics,268.0
320,Directing the Documentary,Michael Rabiger,Performing Arts,648.0
321,Stuart Little,Elwyn Brooks White,"Little, Stuart (Fictitious character)",144.0
322,The Dark Descent,Clive Barker;Ray Bradbury,Fiction,1011.0
323,Dante's Inferno,Dante (Alighieri);Dante Alighieri,Poetry,432.0
324,The Lays of Beleriand,John Ronald Reuel Tolkien;Christopher Tolkien,Poetry,393.0
325,Elbow Room,Daniel Clement Dennett,Philosophy,200.0
326,Pop Internationalism,Paul R. Krugman,Business & Economics,221.0
327,Zero,Charles Seife,Zero (The number),248.0
328,Zen Buddhism & Psychoanalysis,Daisetz Teitaro Suzuki;Erich Fromm;Richard De Martino,Psychoanalysis and religion,188.0
329,The Wanderer,Knut Hamsun;Gunnvor Stallybrass,English fiction,164.0
330,Memoirs,Pablo Neruda,"Poets, Chilean",378.0
331,Art and Beauty in the Middle Ages,Umberto Eco,Art,144.0
332,Cuba,Stephen Coonts,Fiction,461.0
333,Beloved,Toni Morrison,Fiction,324.0
334,The Devil Wears Prada,Lauren Weisberger,Fiction,432.0
335,Death Match,Diane Duane,Fiction,192.0
336,The Civil War,Shelby Foote,United States,2934.0
337,Trial by Fire,Terri Blackstock,Fiction,347.0
338,Breach of Promise,James Scott Bell,Fiction,345.0
339,Deadlock,James Scott Bell,Fiction,319.0
340,Ever After,Karen Kingsbury,Fiction,337.0
341,Fanning the Flame,Christopher J. H. Wright,Religion,336.0
342,The Awakening,Kate Chopin,Adultery,343.0
343,The Everyday I Ching,Sarah Dening,"Body, Mind & Spirit",224.0
344,The Far Pavilions,M. M. Kaye,Fiction,958.0
345,I Capture the Castle,Dodie Smith,Fiction,343.0
346,Marilyn Manson,Richard D. Nelson,Religion,224.0
347,Human Croquet,Kate Atkinson,Fiction,352.0
348,The Naked and the Dead,Norman Mailer,Fiction,721.0
349,Catfish and Mandala,Andrew X. Pham,Biography & Autobiography,344.0
350,The Glass Bead Game,Hermann Hesse,Fiction,558.0
